init,time,inertia,homo,compl,v-meas,ARI,silhouette
kmeans_k-means++,1.578754,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
kmeans_random,0.600092,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
